,Security,SEC Filings,GICS Sector,GICS Sub Industry,Location,Date Added,CIK,Founded,const,Index,Oil,Gold,NaturalGas,Group
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,66740,1902,-0.2729314634933363,-0.32400257533591836,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916,-0.2729314634933363,0.7200261813201027,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888,-0.2729314634933363,-0.9900504633555087,-0.42776563370667126,0.009106093231682539,0.03125780835837168,1
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981,-0.2729314634933363,0.7995185261644847,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,-0.2729314634933363,-0.20141033500160072,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008,-0.2729314634933363,-0.545661985933131,-0.5634220003668321,0.009106093231682539,-3.074011609148201,6
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,7084,1902,-0.2729314634933363,-0.23815977194664237,0.7133123066281145,0.009106093231682539,0.03125780835837168,1
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,-0.2729314634933363,0.4166747019838563,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,8670,1949,-0.2729314634933363,-0.4519117997305141,-0.4059366933513517,0.009106093231682539,-1.511518290606728,1
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932,-0.2729314634933363,-0.8794866110384795,-0.7394796236364911,0.009106093231682539,0.03125780835837168,1
AES,AES Corporation,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,-0.2729314634933363,0.25705884861356326,1.011354375751814,0.009106093231682539,0.03125780835837168,3
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,-0.2729314634933363,0.9373015859477215,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999,-0.2729314634933363,1.3620905284820088,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
APD,Air Products and Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940,-0.2729314634933363,-0.18449564809926297,0.007756672699786574,0.009106093231682539,0.03125780835837168,1
